incident_id,road_id,lat,lon,type,severity,description,photo_url,timestamp,active
INC-20D6E6,R-204,25.9015,91.88,Road Damage,CRITICAL,"Heavy rainfall triggered a landslide on the highway, partially
blocking one lane and causing significant traffic congestion.",,1788095360.4128222,True
INC-8ABB6E,R-204,25.9015,91.88,Landslide,CRITICAL,Monsoon triggered rockfall block at NH-6 Guwahati-Shillong corridor segment R-204.,https://images.unsplash.com/photo-1594897030264-ab7d87efc473?auto=format&fit=crop&w=400&q=80,1788357361.3152184,True
INC-CAA25B,R-204,25.9015,91.88,Landslide,CRITICAL,Monsoon triggered rockfall block at NH-6 Guwahati-Shillong corridor segment R-204.,https://images.unsplash.com/photo-1594897030264-ab7d87efc473?auto=format&fit=crop&w=400&q=80,1788357368.0881948,True
INC-2F268E,R-204,25.9015,91.88,Landslide,CRITICAL,Monsoon triggered rockfall block at NH-6 Guwahati-Shillong corridor segment R-204.,https://images.unsplash.com/photo-1594897030264-ab7d87efc473?auto=format&fit=crop&w=400&q=80,1788357427.7013402,True
INC-1D9EFF,R-204,25.9015,91.88,Landslide,CRITICAL,Monsoon triggered rockfall block at NH-6 Guwahati-Shillong corridor segment R-204.,https://images.unsplash.com/photo-1594897030264-ab7d87efc473?auto=format&fit=crop&w=400&q=80,1788357428.4168139,True
INC-18A80C,R-204,25.9015,91.88,Landslide,CRITICAL,Monsoon triggered rockfall block at NH-6 Guwahati-Shillong corridor segment R-204.,https://images.unsplash.com/photo-1594897030264-ab7d87efc473?auto=format&fit=crop&w=400&q=80,1788357428.654676,True
INC-D19932,R-204,25.9015,91.88,Landslide,CRITICAL,Monsoon triggered rockfall block at NH-6 Guwahati-Shillong corridor segment R-204.,https://images.unsplash.com/photo-1594897030264-ab7d87efc473?auto=format&fit=crop&w=400&q=80,1788357428.9837372,True
INC-E1B1F1,R-204,25.9015,91.88,Landslide,CRITICAL,Monsoon triggered rockfall block at NH-6 Guwahati-Shillong corridor segment R-204.,https://images.unsplash.com/photo-1594897030264-ab7d87efc473?auto=format&fit=crop&w=400&q=80,1788357429.2395167,True
INC-09BE0E,R-204,25.9015,91.88,Landslide,CRITICAL,Monsoon triggered rockfall block at NH-6 Guwahati-Shillong corridor segment R-204.,https://images.unsplash.com/photo-1594897030264-ab7d87efc473?auto=format&fit=crop&w=400&q=80,1788357429.6109073,True
INC-672181,R-204,25.9015,91.88,Landslide,CRITICAL,Monsoon triggered rockfall block at NH-6 Guwahati-Shillong corridor segment R-204.,https://images.unsplash.com/photo-1594897030264-ab7d87efc473?auto=format&fit=crop&w=400&q=80,1788357429.802818,True
